epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-21,19,BA,Firmino Alves,2910909,city,1,17.8031,0,0,0,0.0,5617,True,False
26,2020-06-21,69,BA,Floresta Azul,2911006,city,30,282.24668,2,0,0,0.0,10629,True,False
26,2020-06-21,18,BA,Formosa do Rio Preto,2911105,city,7,27.35337,0,0,0,0.0,25591,True,False
26,2020-06-21,79,BA,Gandu,2911204,city,327,1009.16582,51,5,1,0.0153,32403,True,False
26,2020-06-21,12,BA,Gentio do Ouro,2911303,city,2,17.80468,0,0,0,0.0,11233,True,False
26,2020-06-21,29,BA,Glória,2911402,city,13,85.40832,3,0,0,0.0,15221,True,False
26,2020-06-21,75,BA,Gongogi,2911501,city,17,238.49607,1,2,0,0.1176,7128,True,False
26,2020-06-21,51,BA,Governador Mangabeira,2911600,city,12,57.90947,0,1,0,0.0833,20722,True,False
26,2020-06-21,13,BA,Guajeru,2911659,city,2,28.83091,0,0,0,0.0,6937,True,False
26,2020-06-21,65,BA,Guanambi,2911709,city,71,84.04257,0,0,0,0.0,84481,True,False
26,2020-06-21,53,BA,Guaratinga,2911808,city,20,95.95548,0,0,0,0.0,20843,True,False
26,2020-06-21,38,BA,Iaçu,2911907,city,35,144.00329,0,4,0,0.1143,24305,True,False
26,2020-06-21,61,BA,Ibicaraí,2912103,city,79,364.23994,3,1,0,0.0127,21689,True,False
26,2020-06-21,18,BA,Ibicuí,2912301,city,15,92.60403,0,0,0,0.0,16198,True,False
26,2020-06-21,23,BA,Ibipeba,2912400,city,5,27.45593,0,0,0,0.0,18211,True,False
26,2020-06-21,18,BA,Ibipitanga,2912509,city,5,33.55254,0,0,0,0.0,14902,True,False
